sexo;idade;formacao;curso;anoFormacao;tempoProfissional;tempoFuncao;funcao;metodologia;existenciaProjeto;mesesNoProjeto;@12.Emrelaçãoassuascaracterísticasporfavorresponda;S1;S2;S3;C2;C3;C4;C1;EM4;EM1;EM3;EM2;T3;T1;T4;T2;I2;I1;I4;I3;Desvio
Masculino;27;Especialização;Engenharia de Software;2014;9;8;Gerente;Ágil;12;8; ;7;7;6;7;6;6;7;5;7;7;6;7;6;7;6;6;7;6;7;0,61177529
Masculino;50;Superior completo;Ciência da computação;1995;25;15;Analista;Híbrida;2;1; ;5;7;6;6;7;7;7;6;7;6;6;7;7;7;6;7;7;7;6;0,61177529
Masculino;26;Superior incompleto;ADS;2019;8;5;Desenvolvedor;Ágil;120;10; ;5;5;5;5;5;5;6;5;5;5;4;5;5;5;5;7;5;4;5;0,621260744
Feminino;51;Especialização;Ciência da computação;2009;29;11;Gerente;Ágil;15;5; ;6;6;6;6;5;7;6;5;6;6;6;6;5;5;6;7;5;5;6;0,630603535
Masculino;30;Mestrado;Engenharia da Computação;2016;10;8;Desenvolvedor;Híbrida;18;4; ;5;7;6;5;6;6;6;6;5;6;5;6;6;5;5;7;6;6;6;0,630603535
Masculino;25;Superior completo;Sistemas de Informação;2018;4;4;Desenvolvedor;Híbrida;14;1; ;7;7;6;5;6;6;6;7;6;5;6;6;6;7;6;7;7;6;6;0,630603535
Masculino;25;Superior completo;Sistemas de Informação;2017;4;4;Desenvolvedor;Ágil;3;3; ;7;5;7;7;7;7;7;7;7;7;7;7;7;5;7;7;7;7;7;0,630603535
Masculino;47;Mestrado;Sistemas de Informação;2010;28;24;Analista;Tradicional;90;6; ;4;4;6;5;4;3;5;4;5;5;5;5;5;5;5;5;5;5;5;0,653376296
Masculino;31;Especialização;Sistemas de Informação;2015;12;6;Gerente;Híbrida;18;18; ;5;6;5;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0,653376296
Masculino;32;Superior completo;Sistemas de Informação;2010;11;3;Gerente;Ágil;6;6; ;6;5;6;5;5;6;6;6;6;6;6;7;4;6;6;6;6;5;6;0,653376296
