sexo;idade;formacao;curso;anoFormacao;tempoProfissional;tempoFuncao;funcao;metodologia;existenciaProjeto;mesesNoProjeto;@12.Emrelaçãoassuascaracterísticasporfavorresponda;S1;S2;S3;C2;C3;C4;C1;EM4;EM1;EM3;EM2;T3;T1;T4;T2;I2;I1;I4;I3;@13.Pararesponderasquestõesabaixoconsidereseuprojetoatua;equipe1;reque1;reque2;reque3;tec1;req4;tec2;tec3;tec4;req5;equipe2;equipe3;req6;tec5;tec6;req7;equipe4;@14.Emrelaçãoaoseudiaadiadotrabalho;ci2;et6;ci3;et4;ee6;ee2;et5;ci1;ee4;ee1;et1;et2;et3;ee3;ci4;ee5;@15.Emrelaçãoasuasatisfaçãocomotrabalho;sat1;sat2;sat3;FAC1_1;FAC2_1;FAC3_1;FAC4_1;FAC5_1;FAC1_2;FAC2_2;FAC3_2;FAC4_2;FAC5_2
Feminino;23;Superior incompleto;Análise e desenvolvimento de sistemas;2020;1.9;1.9;Desenvolvedor;Ágil;24;3; ;6;6;6;6;7;5;4;7;6;6;6;6;6;6;6;7;6;6;7; ;5;3;2;4;5;2;2;4;3;5;2;2;2;6;3;4;4; ;3;6;2;6;6;2;6;2;2;2;6;6;4;2;2;2; ;6;6;2;,814332568830468;,115903575139345;,41963599331455;-,661337235602466;,4280756498087;,814332568830468;,115903575139345;,41963599331455;-,661337235602466;,4280756498087
Feminino;29;Mestrado;Ciência da computação;2015;5;5;Testador;Híbrida;60;10; ;6;7;7;4;7;7;7;5;4;7;7;7;7;7;7;7;7;7;7; ;7;7;6;7;7;7;7;7;4;7;7;7;7;7;7;6;1; ;7;3;4;6;7;5;5;7;4;2;6;4;4;5;5;7; ;6;7;4;,457540447409149;1,23035809033295;,749606876550718;,409291567022466;1,16276929353075;,457540447409149;1,23035809033295;,749606876550718;,409291567022466;1,16276929353075
Feminino;36;Doutorado;Ciência da computação;2020;13;13;Analista;Híbrida;120;110; ;7;7;7;6;6;7;7;7;7;7;7;6;7;7;7;7;7;6;6; ;7;7;7;7;5;5;4;7;5;7;5;6;7;5;7;7;5; ;2;7;1;6;2;1;7;1;1;1;7;7;7;3;1;6; ;6;6;1;1,42243284689601;1,00904139835428;,493021727155768;1,36659840325829;,302417702380245;1,42243284689601;1,00904139835428;,493021727155768;1,36659840325829;,302417702380245
Feminino;20;Superior incompleto;Análise e Desenvolvimento de Sistemas;2021;1;1;Desenvolvedor;Híbrida;3;1; ;4;5;5;5;6;4;4;5;5;5;4;4;5;4;5;5;5;5;5; ;1;5;6;6;7;4;5;3;5;5;2;2;5;5;2;6;5; ;2;6;1;7;7;1;5;1;1;1;6;6;4;1;1;1; ;6;6;1;-,881870448725494;-1,15453965797917;-1,72971476555215;-,94715793017799;-,547044682365807;-,881870448725494;-1,15453965797917;-1,72971476555215;-,94715793017799;-,547044682365807
Feminino;25;Superior completo;Ciência da computação;2015;5;5;Desenvolvedor;Ágil;13;7; ;5;5;4;6;6;3;7;6;4;7;6;5;7;3;6;7;5;4;7; ;7;7;7;7;4;6;7;5;5;7;6;3;5;3;7;4;2; ;3;7;2;4;5;1;7;2;1;1;6;4;7;3;2;4; ;5;5;1;-,117861911591813;-1,01787159382792;-,576789434968533;-,338387423599963;,159620298102693;-,117861911591813;-1,01787159382792;-,576789434968533;-,338387423599963;,159620298102693
Feminino;36;Mestrado;Sistemas de Informação;2012;15;15;Desenvolvedor;Ágil;24;12; ;4;4;3;6;7;3;4;4;5;4;4;5;6;6;7;6;6;7;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-1,17069917248661;,269880162603617;-,760443663413467;-1,80578518596329;,274841499370554;-1,17069917248661;,269880162603617;-,760443663413467;-1,80578518596329;,274841499370554
Feminino;29;Superior completo;Sistemas de Informação;2019;3;1;Desenvolvedor;Ágil;6;6; ;7;7;5;6;6;5;7;6;6;7;6;6;7;7;7;7;7;7;7; ;4;2;5;5;2;2;1;3;5;5;4;7;2;6;2;2;2; ;2;2;1;6;1;2;7;1;2;1;7;7;6;6;1;5; ;6;6;2;1,06554058987075;1,04247891575046;,987181080223145;,43112142123548;-,0474391917041157;1,06554058987075;1,04247891575046;,987181080223145;,43112142123548;-,0474391917041157
Feminino;24;Superior completo;Sistemas de Informação;2018;5;1;Analista;Híbrida;6;3; ;6;7;6;5;4;5;6;6;7;6;6;6;7;7;5;7;7;7;7; ;5;5;7;5;7;6;4;7;4;7;5;4;7;5;7;5;5; ;1;6;1;7;2;1;6;1;1;2;7;7;7;5;1;4; ;7;7;1;1,01121250716433;,542505048506515;,905304664480763;,177777838143582;-,929384699438298;1,01121250716433;,542505048506515;,905304664480763;,177777838143582;-,929384699438298
Feminino;27;Superior completo;Analise de Sistemas;2014;6;6;Desenvolvedor;Híbrida;180;72; ;5;7;6;5;6;5;7;6;4;6;6;6;2;3;5;7;7;6;7; ;7;7;7;5;7;7;4;3;3;7;4;2;4;5;7;7;5; ;7;6;3;1;4;7;6;5;4;7;4;2;7;7;5;7; ;4;4;4;-,196955825640658;-1,87373369493799;1,06595215397362;,416443368557345;,279597905059155;-,196955825640658;-1,87373369493799;1,06595215397362;,416443368557345;,279597905059155
Feminino;46;Mestrado;Ciência da computação;2002;15;15;Desenvolvedor;Ágil;1;1; ;3;5;2;3;4;5;4;4;5;4;4;4;5;5;5;5;5;5;5; ;3;4;5;4;3;5;3;4;2;5;5;3;4;6;5;3;3; ;5;4;3;3;2;5;5;4;4;5;4;4;3;5;5;5; ;3;5;4;-1,32218817777763;-,989427961060869;-1,87541870740776;-2,11234435101697;-1,19471622824124;-1,32218817777763;-,989427961060869;-1,87541870740776;-2,11234435101697;-1,19471622824124
