sexo;idade;formacao;curso;anoFormacao;tempoProfissional;tempoFuncao;funcao;metodologia;existenciaProjeto;mesesNoProjeto;@12.Emrelaçãoassuascaracterísticasporfavorresponda;S1;S2;S3;C2;C3;C4;C1;EM4;EM1;EM3;EM2;T3;T1;T4;T2;I2;I1;I4;I3;@13.Pararesponderasquestõesabaixoconsidereseuprojetoatua;equipe1;reque1;reque2;reque3;tec1;req4;tec2;tec3;tec4;req5;equipe2;equipe3;req6;tec5;tec6;req7;equipe4;@14.Emrelaçãoaoseudiaadiadotrabalho;ci2;et6;ci3;et4;ee6;ee2;et5;ci1;ee4;ee1;et1;et2;et3;ee3;ci4;ee5;@15.Emrelaçãoasuasatisfaçãocomotrabalho;sat1;sat2;sat3;sat4;FAC1_1;FAC2_1;FAC3_1;FAC4_1;FAC5_1;FAC1_2;FAC2_2;FAC3_2;FAC4_2;FAC5_2;satisfacao;stress_ad;criatividade_ad;treinamento_ad;interpessoal_ad;burnout_cinismo;burnout_exaustao;burnout_et;crise_ad;instabilidade;adapt;inst_req;inst_equipe;inst_tec;burnt_total;et1i;et2i;et4i;et6i;et5i;et3i
Feminino;43;Especialização;Ciência da computação;2004;19;9;Gerente;Híbrida;18;3; ;6;7;7;3;5;7;6;3;6;3;6;5;5;5;7;6;6;6;6; ;7;3;5;5;6;5;3;6;5;6;5;6;6;5;5;3;2; ;6;6;2;3;2;1;6;6;3;5;5;4;6;3;2;3; ;2;5;3;5;-0,751722074;0,218869586;-0,394005532;0,946352686;-0,875071319;-0,751722074;0,218869586;-0,394005532;0,946352686;-0,875071319;4;6,666666667;5;5,5;6;4;2,833333333;5;4,5;83;5,533333333;27;21;11;3,944444444;3;4;5;2;2;2
Feminino;23;Superior incompleto;Análise e desenvolvimento de sistemas;2020;1.9;1.9;Desenvolvedor;Ágil;24;3; ;6;6;6;6;7;5;4;7;6;6;6;6;6;6;6;7;6;6;7; ;5;3;2;4;5;2;2;4;3;5;2;2;2;6;3;4;4; ;3;6;2;6;6;2;6;2;2;2;6;6;4;2;2;2; ;6;6;2;6;0,814332569;0,115903575;0,419635993;-0,661337236;0,42807565;0,814332569;0,115903575;0,419635993;-0,661337236;0,42807565;6;6;6;6;6,5;2,25;2,666666667;5,666666667;6,25;58;6,15;15;13;11;3,527777778;2;2;2;2;2;4
Feminino;29;Mestrado;Ciência da computação;2015;5;5;Testador;Híbrida;60;10; ;6;7;7;4;7;7;7;5;4;7;7;7;7;7;7;7;7;7;7; ;7;7;6;7;7;7;7;7;4;7;7;7;7;7;7;6;1; ;7;3;4;6;7;5;5;7;4;2;6;4;4;5;5;7; ;6;7;4;4;0,457540447;1,23035809;0,749606877;0,409291567;1,162769294;0,457540447;1,23035809;0,749606877;0,409291567;1,162769294;5,666666667;6,666666667;6;7;7;5,75;5;4,666666667;5,75;108;6,483333333;34;27;15;5,138888889;2;4;2;5;3;4
Feminino;36;Doutorado;Ciência da computação;2020;13;13;Analista;Híbrida;120;110; ;7;7;7;6;6;7;7;7;7;7;7;6;7;7;7;7;7;6;6; ;7;7;7;7;5;5;4;7;5;7;5;6;7;5;7;7;5; ;2;7;1;6;2;1;7;1;1;1;7;7;7;3;1;6; ;6;6;1;7;1,422432847;1,009041398;0,493021727;1,366598403;0,302417702;1,422432847;1,009041398;0,493021727;1,366598403;0,302417702;6,333333333;7;6,333333333;6,75;6,5;1,25;2,333333333;6,833333333;7;103;6,716666667;33;25;14;3,472222222;1;1;2;1;1;1
Feminino;20;Superior incompleto;Análise e Desenvolvimento de Sistemas;2021;1;1;Desenvolvedor;Híbrida;3;1; ;4;5;5;5;6;4;4;5;5;5;4;4;5;4;5;5;5;5;5; ;1;5;6;6;7;4;5;3;5;5;2;2;5;5;2;6;5; ;2;6;1;7;7;1;5;1;1;1;6;6;4;1;1;1; ;6;6;1;6;-0,881870449;-1,154539658;-1,729714766;-0,94715793;-0,547044682;-0,881870449;-1,154539658;-1,729714766;-0,94715793;-0,547044682;6,333333333;4,666666667;5;4,5;5;1,25;2;5,666666667;4,75;74;4,783333333;26;11;17;2,972222222;2;2;1;2;3;4
Feminino;25;Superior completo;Ciência da computação;2015;5;5;Desenvolvedor;Ágil;13;7; ;5;5;4;6;6;3;7;6;4;7;6;5;7;3;6;7;5;4;7; ;7;7;7;7;4;6;7;5;5;7;6;3;5;3;7;4;2; ;3;7;2;4;5;1;7;2;1;1;6;4;7;3;2;4; ;5;5;1;6;-0,117861912;-1,017871594;-0,576789435;-0,338387424;0,159620298;-0,117861912;-1,017871594;-0,576789435;-0,338387424;0,159620298;5,666666667;4,666666667;5;5,25;5,75;2,25;2,5;5,833333333;5,75;92;5,283333333;32;20;13;3,527777778;2;4;4;1;1;1
Feminino;29;Superior completo;Sistemas de Informação;2019;3;1;Desenvolvedor;Ágil;6;6; ;7;7;5;6;6;5;7;6;6;7;6;6;7;7;7;7;7;7;7; ;4;2;5;5;2;2;1;3;5;5;4;7;2;6;2;2;2; ;2;2;1;6;1;2;7;1;2;1;7;7;6;6;1;5; ;6;6;2;6;1,06554059;1,042478916;0,98718108;0,431121421;-0,047439192;1,06554059;1,042478916;0,98718108;0,431121421;-0,047439192;6;6,333333333;5,666666667;6,75;7;1,25;2,833333333;5,833333333;6,25;59;6,4;19;17;5;3,305555556;1;1;2;6;1;2
Feminino;24;Superior completo;Sistemas de Informação;2018;5;1;Analista;Híbrida;6;3; ;6;7;6;5;4;5;6;6;7;6;6;6;7;7;5;7;7;7;7; ;5;5;7;5;7;6;4;7;4;7;5;4;7;5;7;5;5; ;1;6;1;7;2;1;6;1;1;2;7;7;7;5;1;4; ;7;7;1;7;1,011212507;0,542505049;0,905304664;0,177777838;-0,929384699;1,011212507;0,542505049;0,905304664;0,177777838;-0,929384699;7;6,333333333;4,666666667;6,25;7;1;2,5;6,666666667;6,25;95;6,1;32;19;16;3,388888889;1;1;1;2;2;1
Feminino;27;Superior completo;Analise de Sistemas;2014;6;6;Desenvolvedor;Híbrida;180;72; ;5;7;6;5;6;5;7;6;4;6;6;6;2;3;5;7;7;6;7; ;7;7;7;5;7;7;4;3;3;7;4;2;4;5;7;7;5; ;7;6;3;1;4;7;6;5;4;7;4;2;7;7;5;7; ;4;4;4;4;-0,196955826;-1,873733695;1,065952154;0,416443369;0,279597905;-0,196955826;-1,873733695;1,065952154;0,416443369;0,279597905;4;6;5,333333333;4;6,75;5;6;4,333333333;5,5;91;5,516666667;30;20;16;5,111111111;4;6;7;2;2;1
Feminino;46;Mestrado;Ciência da computação;2002;15;15;Desenvolvedor;Ágil;1;1; ;3;5;2;3;4;5;4;4;5;4;4;4;5;5;5;5;5;5;5; ;3;4;5;4;3;5;3;4;2;5;5;3;4;6;5;3;3; ;5;4;3;3;2;5;5;4;4;5;4;4;3;5;5;5; ;3;5;4;3;-1,322188178;-0,989427961;-1,875418707;-2,112344351;-1,194716228;-1,322188178;-0,989427961;-1,875418707;-2,112344351;-1,194716228;4;3,333333333;4;4,75;5;4,25;4,333333333;3,833333333;4,25;67;4,266666667;23;14;9;4,138888889;4;4;5;4;3;5
